order_id,order_status,created_at,
848987,cancelled,05/08/2018,
848988,cancelled,05/08/2018,
848989,dispatched,05/08/2018,
848990,dispatched,05/08/2018,
848991,cancelled,05/08/2018,
848992,dispatched,05/08/2018,
848993,dispatched,05/08/2018,
848994,cancelled,05/08/2018,
848995,dispatched,05/08/2018,
848996,dispatched,05/08/2018,
848997,cancelled,05/08/2018,
848998,dispatched,05/08/2018,
848999,dispatched,05/08/2018,
849000,dispatched,05/08/2018,
849001,dispatched,05/08/2018,
849002,cancelled,05/08/2018,
849003,dispatched,05/08/2018,
849004,dispatched,05/08/2018,
849005,dispatched,05/08/2018,
849006,dispatched,05/08/2018,
849007,dispatched,05/08/2018,
849008,cancelled,05/08/2018,
849009,dispatched,05/08/2018,
849010,dispatched,05/08/2018,
849011,dispatched,05/08/2018,
849012,dispatched,05/08/2018,
849013,cancelled,05/08/2018,
849014,dispatched,05/08/2018,
849015,dispatched,05/08/2018,
849016,dispatched,05/08/2018,
849017,dispatched,05/08/2018,
849018,cancelled,05/08/2018,
849019,dispatched,05/08/2018,
849020,cancelled,05/08/2018,
849021,dispatched,05/08/2018,
849022,cancelled,05/08/2018,
849023,cancelled,05/08/2018,
849024,dispatched,05/08/2018,
849025,dispatched,05/08/2018,
849026,dispatched,05/08/2018,
849027,refunded,05/08/2018,
849028,dispatched,05/08/2018,
849029,dispatched,05/08/2018,
849030,dispatched,05/08/2018,
849031,dispatched,05/08/2018,
849032,refunded,05/08/2018,
849033,cancelled,05/08/2018,
849034,dispatched,05/08/2018,
849035,dispatched,05/08/2018,
849036,dispatched,05/08/2018,
849037,dispatched,05/08/2018,
849038,dispatched,05/08/2018,
849039,dispatched,05/08/2018,
849040,dispatched,05/08/2018,
849041,dispatched,05/08/2018,
849042,dispatched,05/08/2018,
849043,dispatched,05/08/2018,
849044,dispatched,05/08/2018,
849045,dispatched,05/08/2018,
849046,dispatched,05/08/2018,
849047,dispatched,05/08/2018,
849048,cancelled,05/08/2018,
849049,dispatched,05/08/2018,
849050,dispatched,05/08/2018,
849051,cancelled,05/08/2018,
849052,dispatched,05/08/2018,
849053,dispatched,05/08/2018,
849054,cancelled,05/08/2018,
849055,dispatched,05/08/2018,
849056,dispatched,05/08/2018,
849057,dispatched,05/08/2018,
849058,dispatched,05/08/2018,
849059,dispatched,05/08/2018,
849060,dispatched,05/08/2018,
849061,dispatched,05/08/2018,
849062,cancelled,05/08/2018,
849063,cancelled,05/08/2018,
849064,dispatched,05/08/2018,
849065,dispatched,05/08/2018,
849066,dispatched,05/08/2018,
849067,dispatched,05/08/2018,
849068,dispatched,05/08/2018,
849069,dispatched,05/08/2018,
849070,dispatched,05/08/2018,
849071,cancelled,05/08/2018,
849072,dispatched,05/08/2018,
849073,dispatched,05/08/2018,
849074,dispatched,05/08/2018,
849075,cancelled,05/08/2018,
849076,cancelled,05/08/2018,
849077,dispatched,05/08/2018,
849078,dispatched,05/08/2018,
849079,dispatched,05/08/2018,
849080,dispatched,05/08/2018,
849081,cancelled,05/08/2018,
849082,dispatched,05/08/2018,
849083,dispatched,05/08/2018,
849084,dispatched,05/08/2018,
849085,dispatched,05/08/2018,
849086,dispatched,05/08/2018,
849087,dispatched,05/08/2018,
849088,dispatched,05/08/2018,
849089,dispatched,06/08/2018,
849090,dispatched,06/08/2018,
849091,dispatched,06/08/2018,
849092,dispatched,06/08/2018,
849093,cancelled,06/08/2018,
849094,dispatched,06/08/2018,
849095,dispatched,06/08/2018,
849096,cancelled,06/08/2018,
849097,dispatched,06/08/2018,
849098,cancelled,06/08/2018,
849099,cancelled,06/08/2018,
849100,dispatched,06/08/2018,
849101,dispatched,06/08/2018,
849102,dispatched,06/08/2018,
849103,cancelled,06/08/2018,
849104,dispatched,06/08/2018,
849105,dispatched,06/08/2018,
849106,dispatched,06/08/2018,
849107,dispatched,06/08/2018,
849108,cancelled,06/08/2018,
849109,dispatched,06/08/2018,
849110,dispatched,06/08/2018,
849111,dispatched,06/08/2018,
849112,dispatched,06/08/2018,
849113,dispatched,06/08/2018,
849114,dispatched,06/08/2018,
849115,dispatched,06/08/2018,
849116,cancelled,06/08/2018,
849117,dispatched,06/08/2018,
849118,dispatched,06/08/2018,
849119,dispatched,06/08/2018,
849120,dispatched,06/08/2018,
849121,dispatched,06/08/2018,
849122,dispatched,06/08/2018,
849123,dispatched,06/08/2018,
849124,dispatched,06/08/2018,
849125,dispatched,06/08/2018,
849126,cancelled,06/08/2018,
849127,dispatched,06/08/2018,
849128,dispatched,06/08/2018,
849129,dispatched,06/08/2018,
849130,dispatched,06/08/2018,
849131,dispatched,06/08/2018,
849132,cancelled,06/08/2018,
849133,cancelled,06/08/2018,
849134,cancelled,06/08/2018,
849135,dispatched,06/08/2018,
849136,dispatched,06/08/2018,
849137,dispatched,06/08/2018,
849138,dispatched,06/08/2018,
849139,dispatched,06/08/2018,
849140,cancelled,06/08/2018,
849141,refunded,06/08/2018,
849142,dispatched,06/08/2018,
849143,dispatched,06/08/2018,
849144,dispatched,06/08/2018,
849145,dispatched,06/08/2018,
849146,cancelled,06/08/2018,
849147,refunded,06/08/2018,
849148,dispatched,06/08/2018,
849149,cancelled,06/08/2018,
849150,cancelled,06/08/2018,
849151,dispatched,06/08/2018,
849152,dispatched,06/08/2018,
849153,dispatched,06/08/2018,
849154,dispatched,06/08/2018,
849155,dispatched,06/08/2018,
849156,dispatched,06/08/2018,
849157,dispatched,06/08/2018,
849158,cancelled,06/08/2018,
849159,dispatched,06/08/2018,
849160,dispatched,06/08/2018,
849161,dispatched,06/08/2018,
849162,cancelled,06/08/2018,
849163,dispatched,06/08/2018,
849164,cancelled,06/08/2018,
849165,dispatched,06/08/2018,
849166,dispatched,06/08/2018,
849167,dispatched,06/08/2018,
849168,dispatched,06/08/2018,
849169,cancelled,06/08/2018,
849170,dispatched,06/08/2018,
